City,Hotel Name,Country,Max Temp,Current Description,Lat,Lng
Ambilobe,Hôtel & Restaurant DIANA Ambilobe,MG,69.91,clear sky,-13.2,49.05
Malakal,Nile Palace Hotel,SS,73.11,broken clouds,9.5334,31.6605
Mancio Lima,Motel Asas Do Desejo,BR,87.87,broken clouds,-7.6142,-72.8958
Puerto Carreno,Casa Hotel Victoria,CO,89.58,scattered clouds,6.189,-67.4859
Nioro,,GM,81.05,scattered clouds,13.35,-15.75
Dzaoudzi,Le Rocher,YT,76.89,clear sky,-12.7887,45.2699
Aiken,Aiken Cottages,US,82.11,clear sky,33.5835,-81.5998
Hua Hin,"InterContinental Hua Hin Resort, an IHG Hotel",TH,75.47,overcast clouds,12.5707,99.9588
Hatillo,El Buen Hotel,PR,86.56,overcast clouds,18.4863,-66.8254
Camacupa,,AO,63.55,moderate rain,-12.0167,17.4833
Tamiahua,Mission Of The Sun Hotel,MX,85.57,scattered clouds,21.2667,-97.45
Durban,Hilton Durban,ZA,73.92,overcast clouds,-29.8579,31.0292
Kuito,Herdeiros de Antunes Capusso,AO,62.22,light rain,-12.3833,16.9333
Westport,The Westport Inn,US,66.74,broken clouds,41.1415,-73.3579
Ambon,Swiss-Belhotel Ambon,ID,75.34,few clouds,-3.6954,128.1814
Santa Barbara,Upper Ballard Campground,US,77.31,clear sky,34.7333,-120.0343
Isiro,Guest House Hewa Bora,CD,66.81,broken clouds,2.7739,27.616
Rengo,Hostal Cartagena,CL,66.52,clear sky,-34.4167,-70.8667
Sukumo,Sukumojo,JP,62.6,overcast clouds,32.9333,132.7333
Turayf,Turaif,SA,75.45,clear sky,31.6725,38.6637
Mae Tha,Pichamol Resort and Nursing Home,TH,74.44,broken clouds,18.4646,99.1403
Inongo,Hotel Du Lac,CD,75.11,scattered clouds,-1.95,18.2667
Effingham,Countryside Village,US,81.03,overcast clouds,32.3669,-81.3332
Srikakulam,Micro Systems,IN,77.0,overcast clouds,18.3,83.9
Botwood,Exploits Inn & Suites,CA,60.91,overcast clouds,49.1499,-55.3482
Bayir,Hotel Babadag,TR,68.52,clear sky,37.2687,28.2167
Somoto,El Rosario Hotel,NI,82.11,broken clouds,13.4808,-86.5821
Llata,Hospedaje Familia Collazos Espinoza,PE,60.51,overcast clouds,-9.4167,-76.7833
Mirante Do Paranapanema,Pousada Estrela de Mirante do Paranapanema,BR,89.08,overcast clouds,-22.2919,-51.9064
Nhulunbuy,East Arnhem Real Estate,AU,75.81,clear sky,-12.2333,136.7667
Ebolowa,Florence Hotel Ebolowa,CM,69.48,light rain,2.9,11.15
Ghanzi,Ghanzi Farmhouse,BW,72.73,clear sky,-21.5667,21.7833
Sarai Naurang,Taj Mahal hotel,PK,78.04,clear sky,32.8259,70.7814
Troyes,Logis Hôtel des Sources,FR,63.37,moderate rain,48.3333,4.0833
Poya,,NC,70.99,scattered clouds,-21.35,165.15
Duku,,NG,79.47,clear sky,11.2361,4.9073
Mokobeng,Omphile B. Molefhe,BW,75.7,overcast clouds,-22.9965,27.6678
Amboasary,Le Bon Samaritain,MG,70.41,clear sky,-25.0333,46.3833
Bilma,Expeditions Ténére voyages,NE,85.08,clear sky,18.6853,12.9164
Sabang,Hotel Citra,ID,80.73,moderate rain,5.8933,95.3214
Plettenberg Bay,Thanda Vista B&B,ZA,62.96,overcast clouds,-34.0527,23.3716
Carballo,Pazo do Souto,ES,65.89,clear sky,43.213,-8.691
Cockburn Town,Osprey Beach Hotel,TC,81.55,clear sky,21.4612,-71.1419
Oistins,Butterfly Beach Hotel,BB,87.89,scattered clouds,13.0667,-59.5333
Pangani,Safari Mashariki Lodge,TZ,74.52,scattered clouds,-5.4333,38.9667
Boa Vista,Aipana Plaza Hotel,BR,87.78,light rain,2.8197,-60.6733
Palizada,Hotel San Joaquín Palizada,MX,88.29,overcast clouds,18.25,-92.0833
Harihar,My Home,IN,72.59,overcast clouds,14.5167,75.8
Kloulklubed,Storyboard Beach Resort,PW,77.5,overcast clouds,7.0419,134.2556
Fayaoue,Chez Dydyce Guesthouse,NC,75.27,few clouds,-20.65,166.5333
Santo Antonio Do Sudoeste,Hotel Frontera,BR,76.55,overcast clouds,-26.0736,-53.7253
Sanjwal,لبیک یارسول اللہ ہوٹل,PK,72.34,clear sky,33.7608,72.4336
Marzuq,حيد القفلة,YE,69.55,clear sky,14.4,46.4667
Abha,Abha Hotel,SA,62.85,clear sky,18.2164,42.5053
Morondava,La Case Bambou,MG,77.43,clear sky,-20.2833,44.2833
Cravo Norte,Hotel Potosí Los Mirtos,CO,84.9,overcast clouds,6.3017,-70.2041
San Quintin,Don Eddie's Sport Fishing Center,MX,72.84,clear sky,30.4833,-115.95
Nichinan,Guest House Aki,JP,63.88,light rain,31.6,131.3667
