City,Hotel Name,Country,Max Temp,Current Description,Lat,Lng
Riyadh,"InterContinental Riyadh, an IHG Hotel",SA,82.54,broken clouds,24.6877,46.7219
San Cristobal,Pirineos,VE,78.98,overcast clouds,7.7669,-72.225
Kilindoni,Bustani B&B,TZ,76.5,few clouds,-7.9139,39.6668
Belmonte,Pousada Monte Carmelo O Pão,BR,79.75,scattered clouds,-15.8631,-38.8828
Ascension,Highland Inn,US,80.04,clear sky,30.2169,-90.9001
Lillooet,Hotel Victoria,CA,72.37,clear sky,50.6856,-121.942
Waingapu,Pondok Wisata Elim,ID,79.68,overcast clouds,-9.6567,120.2641
Ilo,Torreblanca Hotel,PE,67.06,clear sky,-17.6394,-71.3375
Bereda,Pazo de Verdes,ES,62.15,scattered clouds,43.2686,-7.5406
Ishigaki,Hotel Peace Land Ishigakijima,JP,71.73,mist,24.3448,124.1572
Portland,Embassy Suites by Hilton Portland Downtown,US,66.16,broken clouds,45.5234,-122.6762
Colonia,Mauritius Hotel & Therme,DE,65.97,light rain,50.9333,6.95
Sola,Leumerus Bungalows,VU,74.07,broken clouds,-13.8833,167.55
Saint-Joseph,"""Plantation Bed and Breakfast",RE,71.98,scattered clouds,-21.3667,55.6167
Chirongui,La Villa Mahatsara,YT,76.93,clear sky,-12.9319,45.1483
Tagusao,Caycay future beach resort,PH,80.17,overcast clouds,9.1924,117.8141
Odweyne,Eng Hiirey House,SO,75.78,broken clouds,9.4092,45.064
Ouadda,,CF,69.67,light rain,8.0777,22.4007
Nishihara,Minshuku Agaihama,JP,72.68,broken clouds,26.1842,127.7558
Camabatela,Comércio e Prestação de Serviços,AO,66.36,light rain,-8.1881,15.375
Huarmey,Hotel Miramar,PE,67.17,broken clouds,-10.0681,-78.1522
Celestun,Posada Lilia,MX,86.14,broken clouds,20.8667,-90.4
Nanchital,Hotel Estancia Mexicana,MX,80.62,broken clouds,18.0667,-94.4
Hobyo,Halane Hotel and Restaurent,SO,78.35,scattered clouds,5.3505,48.5268
Bandarbeyla,JABIR HOTEL,SO,77.95,clear sky,9.4942,50.8122
Simpang,Budidaya Pembesaran Ikan,ID,74.12,overcast clouds,-1.2667,104.0833
Sakakah,Fakhamat Al Orjoana Apartment,SA,85.57,overcast clouds,29.9697,40.2064
Kita,Hôtel Chat Rouge,ML,81.3,light rain,13.0349,-9.4895
Hurbanovo,Twins,SK,61.05,overcast clouds,47.8698,18.1923
Muzaffarabad,Pearl Continental Muzaffarabad,PK,64.2,overcast clouds,34.37,73.4711
Seminole,Ono Hot Dog Cart and Catering Lemonade and Shaved Hawaiian Ice,US,88.41,few clouds,28.7086,-81.2081
Kitgum,Jaflo Gardens Hotel,UG,67.23,moderate rain,3.2783,32.8867
Gua Musang,Mines Inn Hotel,MY,74.26,light rain,4.8823,101.9644
Aloleng,Steve Walden and Emma Sison-Walden Residence,PH,79.88,scattered clouds,16.1307,119.7824
Roanoke Rapids,Hampton Inn Roanoke Rapids,US,74.89,broken clouds,36.4615,-77.6542
Namibe,Hotel Chik Chik Namibe,AO,68.09,overcast clouds,-15.1961,12.1522
Kudahuvadhoo,Niyama Private Islands Maldives,MV,81.0,overcast clouds,2.6708,72.8944
Trujillo,Casa Andina Standard Trujillo Plaza,PE,62.56,fog,-8.116,-79.03
Abu Samrah,,SY,72.41,broken clouds,35.3029,37.1841
Sigmaringen,Jägerhof,DE,60.64,overcast clouds,48.0833,9.2167
Santa Rosalia,Hotel Las Casitas Santa Rosalia,MX,77.22,clear sky,27.3167,-112.2833
Virginia Beach,Hilton Virginia Beach Oceanfront,US,76.05,broken clouds,36.8529,-75.978
Presidencia Roque Saenz Pena,Hotel Gualok,AR,62.83,moderate rain,-26.7852,-60.4388
Kirkuk,Cihad Oteli,IQ,82.06,clear sky,35.4681,44.3922
Wawa,,NG,79.02,scattered clouds,9.9022,4.4192
Gumdag,,TM,67.96,clear sky,39.2061,54.5906
Jalingo,Debright Motel,NG,79.36,scattered clouds,8.8833,11.3667
Qarqin,Hayetmurad,AF,72.3,scattered clouds,37.4185,66.0436
Del Rio,"Holiday Inn Express & Suites del Rio, an IHG Hotel",US,66.22,light intensity drizzle,29.3627,-100.8968
Ampanihy,HOTEL SHARRON AMPANIHY OUEST,MG,70.25,clear sky,-24.7,44.75
Orcopampa,Happy Wasi,PE,63.36,scattered clouds,-15.2661,-72.3417
Kalmunai,VS Villa,LK,78.28,overcast clouds,7.4167,81.8167
Vanderhoof,Vanderhoof Inn,CA,60.04,clear sky,54.0166,-124.0198
Kang,Kang Ultra Stop,BW,69.89,overcast clouds,-23.6752,22.7876
Epe,MAGVILLE HOTEL,NG,77.38,light rain,6.5841,3.9834
Ilhabela,Ilha Flat Hotel,BR,73.31,overcast clouds,-23.7781,-45.3581
Payakumbuh,Dalimo Homestay,ID,68.77,overcast clouds,-0.2202,100.6308
Tezu,Circuit House,IN,69.12,clear sky,27.9167,96.1667
Candelaria,Casa de Provincia,PH,76.39,scattered clouds,13.9311,121.4233
Padang,Mercure Padang,ID,75.25,overcast clouds,-0.9492,100.3543
Macia,Hotel Taskin Macia,MZ,72.57,scattered clouds,-25.0269,33.0989
Rio Tercero,Hospedaje Las Violetas,AR,67.44,overcast clouds,-32.173,-64.1141
Aswan,Nuba Nile,EG,85.3,clear sky,24.0934,32.907
Sabha,محطة ام الارانب -سبها مواصلات,LY,72.03,clear sky,27.0377,14.4283
Sangmelima,gamestar hotel,CM,68.61,moderate rain,2.9333,11.9833
Coburg,Vienna House Easy Coburg,DE,61.59,few clouds,50.2667,10.9667
Saint-Pierre,Alize Plage,RE,73.08,overcast clouds,-21.3393,55.4781
Dakar,Novotel Dakar,SN,87.93,clear sky,14.6937,-17.4441
Catamarca,Amerian Catamarca Park Hotel,AR,73.06,few clouds,-28.4696,-65.7852
Nambucca Heads,Marcel Towers Holiday Apartments,AU,63.18,overcast clouds,-30.65,153.0
Tual,Grand Vilia Hotel,ID,82.99,overcast clouds,-5.6667,132.75
Chilca,Playa Punta Yaya - Las Salinas,PE,63.82,scattered clouds,-12.5211,-76.7372
Paita,Hotel Náutico de Paita,PE,69.53,scattered clouds,-5.0892,-81.1144
Rigaud,Motel Belair,CA,61.86,moderate rain,45.4793,-74.3024
Nairobi,Hilton Nairobi,KE,71.47,broken clouds,-1.2833,36.8167
Ballina,Ramada Hotel & Suites by Wyndham Ballina Byron,AU,62.02,light rain,-28.8667,153.5667
Alyangula,Groote Eylandt Lodge,AU,79.75,broken clouds,-13.8483,136.4192
Gweta,Gweta Lodge,BW,82.42,overcast clouds,-20.1833,25.2333
Ilorin,SITY INN,NG,80.28,few clouds,8.5,4.55
