City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bayonet Point,US,28.3267,-82.6834,68.14,45,6,5.99,clear sky
79,Sanmenxia,CN,34.7747,111.1814,52.21,43,6,8.68,clear sky
80,Kiruna,SE,67.8557,20.2251,38.32,75,20,6.91,few clouds
81,Arrifes,PT,37.7667,-25.7,64.65,77,40,23.02,scattered clouds
82,Georgetown,MY,5.4112,100.3354,78.73,86,20,0.0,few clouds
83,Florian,CO,5.8049,-73.9703,68.31,89,95,2.3,overcast clouds
84,Ratnagiri,IN,16.9833,73.3,77.9,87,79,2.93,broken clouds
85,Saint-Philippe,RE,-21.3585,55.7679,69.39,72,42,8.86,scattered clouds
86,Nome,US,64.5011,-165.4064,35.67,87,100,13.8,overcast clouds
87,Pisco,PE,-13.7,-76.2167,66.25,68,0,8.05,clear sky
88,Vardo,NO,70.3705,31.1107,37.38,56,75,32.21,broken clouds
89,Sarangani,PH,5.4033,125.4636,83.55,75,100,9.35,overcast clouds
90,Lethem,GY,3.3803,-59.7968,82.65,74,99,10.07,light rain
91,Chapais,CA,49.7834,-74.8492,38.98,72,100,4.27,overcast clouds
92,Viransehir,TR,37.2353,39.7631,71.98,40,69,6.73,broken clouds
93,Sapa,PH,5.1544,120.3241,80.38,81,100,4.54,very heavy rain
94,Barcelos,PT,41.5388,-8.6151,62.85,89,0,12.03,light rain
95,Hilo,US,19.7297,-155.09,87.28,65,40,6.91,scattered clouds
96,La Sarre,CA,48.8002,-79.1996,38.05,87,100,6.67,light rain
97,Pacific Grove,US,36.6177,-121.9166,95.65,21,0,8.05,smoke
98,Aksu,CN,41.1231,80.2644,57.34,21,99,5.23,overcast clouds
99,Tura,IN,25.5198,90.2201,67.41,75,6,4.83,clear sky
100,Yellowknife,CA,62.456,-114.3525,43.32,93,75,18.01,broken clouds
101,Sinnamary,GF,5.3833,-52.95,80.94,80,79,10.02,broken clouds
102,Lagoa Santa,BR,-19.6272,-43.8897,82.62,47,20,10.36,few clouds
103,Blagoyevo,RU,63.3667,47.9167,34.63,86,100,8.9,overcast clouds
104,San Cristobal,VE,7.7669,-72.225,78.98,77,91,3.4,overcast clouds
105,Manaure,CO,11.7751,-72.4445,88.16,60,66,13.69,broken clouds
106,Yeppoon,AU,-23.1333,150.7333,69.58,89,98,11.34,light rain
107,Uvira,CD,-3.4067,29.1458,73.06,88,100,11.1,moderate rain
108,Maniitsoq,GL,65.4167,-52.9,27.05,68,42,15.59,scattered clouds
109,Maningrida,AU,-12.0667,134.2667,80.26,79,82,3.58,broken clouds
110,Kondinskoye,RU,59.6481,67.41,38.39,93,98,6.96,overcast clouds
111,Carnarvon,AU,-24.8667,113.6333,65.21,84,5,9.93,clear sky
112,Nanortalik,GL,60.1432,-45.2371,36.09,86,70,30.82,broken clouds
113,Kavieng,PG,-2.5744,150.7967,82.63,76,99,12.03,overcast clouds
114,Liverpool,GB,53.4106,-2.9779,55.35,78,0,10.36,clear sky
115,Lebu,CL,-37.6167,-73.65,55.49,80,44,8.43,scattered clouds
116,Jamestown,US,42.097,-79.2353,40.01,78,100,16.11,overcast clouds
117,Batsfjord,NO,70.6345,29.7185,37.33,64,75,31.07,broken clouds
118,Caravelas,BR,-17.7125,-39.2481,74.77,76,43,8.08,scattered clouds
119,Thompson,CA,55.7435,-97.8558,44.76,65,40,10.36,scattered clouds
120,Parfenyevo,RU,58.484,43.4088,38.48,86,100,4.7,overcast clouds
121,Luderitz,NA,-26.6481,15.1594,60.37,90,14,14.63,few clouds
122,Bluff,NZ,-46.6,168.3333,49.64,67,91,24.52,overcast clouds
123,Oltu,TR,40.5498,42.0013,57.56,65,74,7.14,broken clouds
124,Kodiak,US,57.79,-152.4072,49.51,53,0,8.05,clear sky
125,Bredasdorp,ZA,-34.5322,20.0403,62.17,86,100,10.67,overcast clouds
126,Chumikan,RU,54.7183,135.315,34.39,73,98,16.46,overcast clouds
127,Manono,CD,-7.3,27.4167,72.09,82,100,2.1,overcast clouds
128,Brae,GB,60.3964,-1.353,45.01,65,100,6.85,overcast clouds
129,Belmonte,BR,-15.8631,-38.8828,74.88,79,6,7.74,clear sky
130,Longyearbyen,SJ,78.2186,15.6401,26.44,59,40,20.71,scattered clouds
131,Ribeira Grande,PT,38.5167,-28.7,66.6,82,40,18.41,light intensity shower rain
132,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,20,4.61,few clouds
133,Hualmay,PE,-11.0964,-77.6139,65.34,75,61,13.31,broken clouds
134,Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,99,7.0,overcast clouds
135,Marsa Matruh,EG,31.3525,27.2453,70.0,78,20,4.61,few clouds
136,Dikson,RU,73.5069,80.5464,32.36,99,100,16.55,light snow
137,Abeche,TD,13.8292,20.8324,84.99,27,5,1.5,clear sky
138,Kashi,CN,39.4547,75.9797,58.21,30,99,8.95,overcast clouds
139,Erzin,TR,36.9559,36.2,66.65,82,4,1.81,clear sky
140,Coromandel,BR,-18.4733,-47.2003,82.31,33,95,1.92,overcast clouds
141,Labuhan,ID,-6.8844,112.2051,78.12,87,98,4.85,light rain
142,Ambovombe,MG,-25.1667,46.0833,68.49,86,2,8.68,clear sky
143,Kirakira,SB,-10.4544,161.9205,82.8,79,35,6.24,scattered clouds
144,Morgantown,US,39.6295,-79.9559,44.2,89,100,9.22,overcast clouds
145,Quatre Cocos,MU,-20.2078,57.7625,69.91,73,52,12.15,broken clouds
146,Merauke,ID,-8.4667,140.3333,77.32,88,100,5.84,moderate rain
147,Romny,UA,50.751,33.4747,47.46,83,87,9.98,overcast clouds
148,Omboue,GA,-1.5746,9.2618,77.07,89,93,9.37,light rain
149,Olinda,BR,-8.0089,-34.8553,80.33,65,40,12.66,scattered clouds
